train/loss,train/acc,epoch,step,val/loss,val/acc
2.1806955337524414,0.1875,0,49,,
1.9810155630111694,0.28125,0,99,,
1.4762029647827148,0.375,0,149,,
1.286108136177063,0.625,0,199,,
1.3221070766448975,0.53125,0,249,,
1.3122478723526,0.59375,0,299,,
0.9777909517288208,0.75,0,349,,
1.1001527309417725,0.71875,0,399,,
0.8710172772407532,0.84375,0,449,,
0.772919774055481,0.84375,0,499,,
0.6445683836936951,0.71875,0,549,,
0.5437856316566467,0.875,0,599,,
0.6083781123161316,0.75,0,649,,
0.5468772649765015,0.875,0,699,,
0.6200748085975647,0.78125,0,749,,
0.8540952801704407,0.75,0,799,,
0.6510036587715149,0.8125,0,849,,
0.7299221754074097,0.8125,0,899,,
0.6345215439796448,0.84375,0,949,,
0.40772002935409546,0.875,0,999,,
0.36904633045196533,0.90625,0,1049,,
0.44884392619132996,0.90625,0,1099,,
0.45150163769721985,0.78125,0,1149,,
0.21440233290195465,0.96875,0,1199,,
0.35147956013679504,0.90625,0,1249,,
0.18142932653427124,0.96875,0,1299,,
0.27125096321105957,0.9375,0,1349,,
0.158835768699646,0.96875,0,1399,,
0.39865997433662415,0.8125,0,1449,,
0.28801625967025757,0.9375,0,1499,,
0.37183403968811035,0.84375,0,1549,,
0.22470475733280182,0.9375,0,1599,,
0.17229537665843964,0.9375,0,1649,,
0.3995581269264221,0.90625,0,1699,,
,,,0,0.27955299615859985,0.875
,,,1,0.25394514203071594,0.90625
,,,2,0.40295320749282837,0.875
,,,3,0.2901071608066559,0.90625
,,,4,0.4372192919254303,0.84375
,,,5,0.4473976492881775,0.84375
,,,6,0.30473312735557556,0.90625
,,,7,0.4754052758216858,0.84375
,,,8,0.3058195114135742,0.875
,,,9,0.4454996883869171,0.90625
,,,10,0.1031038835644722,1.0
,,,11,0.9079592823982239,0.875
,,,12,0.35275524854660034,0.875
,,,13,0.34367701411247253,0.84375
,,,14,0.20133885741233826,0.9375
,,,15,0.6639037132263184,0.84375
,,,16,0.3125535249710083,0.84375
,,,17,0.13840988278388977,0.96875
,,,18,0.6363897919654846,0.84375
,,,19,0.28554046154022217,0.9375
,,,20,0.457225501537323,0.84375
,,,21,0.12977944314479828,0.96875
,,,22,0.44669947028160095,0.90625
,,,23,0.2773040533065796,0.9375
,,,24,0.32234859466552734,0.90625
,,,25,0.3258013129234314,0.90625
,,,26,0.19330596923828125,0.9375
,,,27,0.2670949399471283,0.96875
,,,28,0.6058288812637329,0.8125
,,,29,0.2390705943107605,0.9375
,,,30,0.15925273299217224,0.96875
,,,31,0.7033615708351135,0.78125
,,,32,0.3030206561088562,0.90625
,,,33,0.4738423824310303,0.90625
,,,34,0.4373288154602051,0.84375
,,,35,0.37306854128837585,0.8125
,,,36,0.33365046977996826,0.90625
,,,37,0.4494481086730957,0.8125
,,,38,0.4971798360347748,0.875
,,,39,0.34735822677612305,0.875
,,,40,0.319654643535614,0.90625
,,,41,0.5322698950767517,0.875
,,,42,0.36106258630752563,0.9375
,,,43,0.5257155299186707,0.875
,,,44,0.2713296115398407,0.90625
,,,45,0.22762741148471832,0.90625
,,,46,0.6018539071083069,0.78125
,,,47,0.4044855535030365,0.9375
,,,48,0.2517874240875244,0.875
,,,49,0.5251018404960632,0.8125
,,,50,0.5379992127418518,0.8125
,,,51,0.46846362948417664,0.8125
,,,52,0.40124255418777466,0.875
,,,53,0.3276407718658447,0.84375
,,,54,0.374534010887146,0.8125
,,,55,0.8894628286361694,0.84375
,,,56,0.1213316023349762,1.0
,,,57,0.34714654088020325,0.875
,,,58,0.16157002747058868,0.96875
,,,59,0.26734036207199097,0.96875
,,,60,0.2917722761631012,0.90625
,,,61,0.22770476341247559,0.90625
,,,62,0.09312773495912552,1.0
,,,63,0.595022439956665,0.78125
,,,64,0.3629540205001831,0.90625
,,,65,0.5281798243522644,0.875
,,,66,0.17439043521881104,0.96875
,,,67,0.4230615794658661,0.84375
,,,68,0.13136032223701477,1.0
,,,69,0.4427228271961212,0.8125
,,,70,0.21686458587646484,0.90625
,,,71,0.3461451828479767,0.90625
,,,72,0.26741087436676025,0.90625
,,,73,0.38877567648887634,0.875
,,,74,0.33597639203071594,0.90625
,,,75,0.4927784502506256,0.8125
,,,76,0.48929208517074585,0.875
,,,77,0.32743722200393677,0.875
,,,78,0.498469740152359,0.875
,,,79,0.21996799111366272,0.9375
,,,80,0.37748774886131287,0.875
,,,81,0.3007809519767761,0.90625
,,,82,0.414005845785141,0.84375
,,,83,0.37155190110206604,0.90625
,,,84,0.17820043861865997,0.96875
,,,85,0.6161401867866516,0.75
,,,86,0.19920209050178528,0.90625
,,,87,0.6584248542785645,0.84375
,,,88,0.26519355177879333,0.90625
,,,89,0.6987731456756592,0.78125
,,,90,0.36292871832847595,0.875
,,,91,0.3598310351371765,0.78125
,,,92,0.48141905665397644,0.875
,,,93,0.2510349154472351,0.9375
,,,94,0.4180620014667511,0.90625
,,,95,0.7131671905517578,0.84375
,,,96,0.20938482880592346,0.9375
,,,97,0.20406168699264526,0.96875
,,,98,0.3009311556816101,0.90625
,,,99,0.185562402009964,0.9375
,,,100,0.28873211145401,0.875
,,,101,0.4911767840385437,0.875
,,,102,0.32374897599220276,0.875
,,,103,0.2678665518760681,0.9375
,,,104,0.20426899194717407,0.96875
,,,105,0.41639021039009094,0.875
,,,106,0.7267426252365112,0.84375
,,,107,0.1887267380952835,0.96875
,,,108,0.39578279852867126,0.9375
,,,109,0.16524243354797363,0.90625
